y,x1,x2,x3,x4,x5,x6
1.1654,-0.012513,-0.33472,-0.039423,0.23188,-0.054767,0.20263
0.059983,-0.0010198,-0.095689,-0.02866,0.070531,-0.0099584,-0.053211
-2.1255,-0.039372,0.3029,0.034732,-0.51983,-0.1724,0.12267
-0.42405,0.011236,0.10606,0.034335,-0.1756,0.041158,-0.18755
0.71606,-0.0072262,-0.046914,-0.0219,0.39373,0.13888,0.30643
-1.5435,0.04483,0.09692,0.022816,-0.40869,-0.32388,1.001
0.64049,-0.032192,-0.15215,0.0096709,0.40428,0.12573,-0.4649
0.82238,-0.03198,-0.031039,0.0096761,0.20191,-0.02429,0.57321
0.67665,-0.014261,-0.698,-0.039983,0.45667,0.19283,-1.1164
2.5654,0.052587,0.38942,-0.0034035,0.057921,0.026827,0.08599
0.23112,0.040839,-0.13943,-0.0056425,0.30363,0.32688,-0.46749
0.82308,-0.016291,0.013416,-0.034385,0.49726,0.27506,-0.25908
-0.59288,-0.035784,-0.37416,-0.0071205,0.11209,0.088333,0.39764
0.6875,0.048386,0.35081,0.012681,-0.0085373,0.096573,0.076981
-0.063442,0.013233,0.026866,-0.0068373,-0.047938,0.037084,-0.34428
-0.67945,-0.0079208,-0.23815,-0.045817,0.097316,0.02844,0.31037
1.301,-0.0034492,-0.30443,-0.035809,0.14606,0.19926,-0.78479
-1.389,-0.1127,-0.76476,-0.05357,0.7018,0.42182,-1.3787
2.4171,0.0327,0.086902,-0.010849,0.22256,0.24684,-0.56154
0.028742,-0.016479,0.33119,0.034318,-0.10299,-0.10669,0.17319
0.99439,0.032361,0.10536,-0.023653,0.30573,0.17679,0.01226
0.16232,0.066817,0.61179,0.059009,-0.0617,0.018243,-0.060647
-0.90539,0.074154,0.27574,0.018687,-0.01781,-0.1044,-0.067637
-1.3647,-0.016963,0.15542,0.00097287,-0.13978,-0.11874,-0.48543
2.0827,0.12363,0.48033,0.010167,0.036141,-0.2062,0.33074
0.59867,0.00041102,0.31965,0.0094214,-0.60547,-0.051748,0.76284
0.70887,0.0014601,0.049548,-0.0069423,0.44882,0.12538,0.20618
